id,latin,common,category,tempmax,tempmin,ideallight,toleratedlight,watering,image,origin,climate
46,Anthurium hookeri,Bird nest Anthurium,Anthurium,82.4,64.4,Bright light,Diffused,less frequent,https://okanoka.com/cdn/shop/products/582814-wm-16915.5_watermarked_1024x1024@2x.jpg?v=1664713527,,
57,Anthurium schlechtendalii,Cabbage Anthurium,Anthurium,82.4,64.4,Bright light,Diffused,less frequent,https://www.thejunglecollective.com.au/wp-content/uploads/2020/05/Anthurium-Schlechtendalii-200mm-s.jpg.webp,Costa rica,Tropical
62,Anthurium hookeri,Birds nest Anthurium,Anthurium,82.4,64.4,Bright light,Diffused,less frequent,https://i.etsystatic.com/23242079/r/il/8cada3/3737512943/il_794xN.3737512943_krx7.jpg,,
41,Calathea pictura Argentea,Silver Calathea,Foliage plant,77,50,Bright light,Diffused,Average,https://m.media-amazon.com/images/I/81RzBbD-i3L._AC_SX679_.jpg,,
36,Codiaeum petra,Croton,Foliage plant,82.4,50,6 or more hours of direct sunlight per day.,Direct sunlight.,Average,https://nurserynisarga.in/wp-content/uploads/2023/02/Buy-Croton-Petra-Plant-Online.webp,,
40,Calathea veitchiana,Medallion Calathea,Foliage plant,77,50,Bright light,Diffused,Average,https://www.lightbulbs.com/catalog/product_photos/Vickerman/724460md.jpg,,
50,Calathea stromata,Stromante,Foliage plant,77,50,Bright light,Diffused,Average,https://plantworldlondon.com/wp-content/uploads/2021/06/Calathea-Ornata-Sanderiana-1.jpg,,
51,Codiaeum,Garden Croton,Foliage plant,82.4,50,6 or more hours of direct sunlight per day.,Direct sunlight.,Average,https://shopyarrow.com/cdn/shop/products/Yarrow.Shop_Houseplant_Plant_-74_860x.jpg?v=1607985340,,
60,Calathea ornata Rosea lineata,Stiped calathea,Foliage plant,77,50,Bright light,Diffused,Average,https://heyrooted.com/cdn/shop/products/8CALATHEA_PINSTRIPE-2_d3b7b69e-a4db-46e7-8a34-81cf04608653.jpg?v=1677282975&width=713,,
76,Ctenanthe lubbersiana,Phrynium,Foliage plant,77,53.6,Bright light,Diffused,Frequent,https://i0.wp.com/www.halaplants.ae/wp-content/uploads/2021/04/Ctenanthe-lubbersiana-19L.jpg?fit=800%2C800&ssl=1,,
132,Liriope muscari Variegata,Variegated lily turf,Foliage plant,20,46.4,Bright light,Direct sunlight,Average,https://treemart.org/wp-content/uploads/2023/03/Liriope.-asst.webp,,
